Head,Description,Definition,Translation
1100,,Reserved,Reserved
1200,,Generic Infrastructure Problem,Generic Infrastructure Problem
1300,,Generic Traffic and Transportation Problem,Generic Traffic and Transportation Problem
1400,,Natural Disaster,Natural Disaster
1500,,Generic Urban Problem,Generic Urban Problem
1600,,Generic Environmental Problem,Generic Environmental Problem
1700,,Generic Health Problem,Generic Health Problem
1800,,Extraordinary Circumstances,Extraordinary Circumstances
3100,,Spontaneous Social Events,Spontaneous Social Events
3200,,One-day Social Events,One-day Social Events
3300,,Daily Social Events,Daily Social Events